"","CD","Incumbent","Party","Obama.2012","Romney.2012","Obama.2008","McCain.2008"
"359","TN-07","Blackburn, Marsha","(R)",32.9,65.7,36.3,62.4
"360","TN-08","Fincher, Steve","(R)",32.8,66.1,34.9,64.1
"361","TN-09","Cohen, Steve","(D)",78.3,20.9,77,22.5
"362","TX-01","Gohmert, Louie","(R)",27.5,71.6,30,69
"363","TX-02","Poe, Ted","(R)",35.6,62.9,37,62
"364","TX-03","Johnson, Sam","(R)",34.2,64.3,37,61
"365","TX-04","Hall, Ralph","(R)",24.8,74,29,70
"366","TX-05","Hensarling, Jeb","(R)",34.4,64.5,37,62
"367","TX-06","Barton, Joe","(R)",40.8,57.9,42,57
"368","TX-07","Culberson, John","(R)",38.6,59.9,40,59
"369","TX-08","Brady, Kevin","(R)",21.7,77,26,73
"370","TX-09","Green, Al","(D)",78,21.1,76,23
"371","TX-10","McCaul, Michael","(R)",38.8,59.1,43,56
"372","TX-11","Conaway, Michael","(R)",19.6,79.2,23,76
"373","TX-12","Granger, Kay","(R)",31.7,66.8,35,64
"374","TX-13","Thornberry, Mac","(R)",18.5,80.2,22,77
"375","TX-14","Weber, Randy","(R)",39.5,59.3,42,57
"376","TX-15","Hinojosa, Ruben","(D)",57.4,41.5,57,42
"377","TX-16","O'Rourke, Beto","(D)",64.2,34.5,64,35
"378","TX-17","Flores, Bill","(R)",37.7,60.4,41,58
"379","TX-18","Jackson-Lee, Sheila","(D)",76.1,22.8,77,23
"380","TX-19","Neugebauer, Randy","(R)",25,73.6,28,71
"381","TX-20","Castro, Joaquin","(D)",58.9,39.7,58,41
"382","TX-21","Smith, Lamar","(R)",37.9,59.8,42,56
"383","TX-22","Olson, Pete","(R)",36.7,62.1,39,60
"384","TX-23","Gallego, Pete","(D)",48.1,50.7,50,49
"385","TX-24","Marchant, Kenny","(R)",38,60.4,41,58
"386","TX-25","Williams, Roger","(R)",37.8,59.9,43,56
"387","TX-26","Burgess, Michael","(R)",30.7,67.6,35,64
"388","TX-27","Farenthold, Blake","(R)",38.2,60.5,40,59
"389","TX-28","Cuellar, Henry","(D)",60.3,38.7,58,41
"390","TX-29","Green, Gene","(D)",65.9,33,62,37
"391","TX-30","Johnson, E.B.","(D)",79.6,19.6,78,21
"392","TX-31","Carter, John","(R)",38.3,59.6,43,56
"393","TX-32","Sessions, Pete","(R)",41.5,57,44,55
"394","TX-33","Veasey, Mark","(D)",72,27.1,69,31
"395","TX-34","Vela, Filemon","(D)",60.8,38.3,60,39
"396","TX-35","Doggett, Lloyd","(D)",63,34.6,63,35
"397","TX-36","Stockman, Steve","(R)",25.7,73.2,30,69
"398","UT-01","Bishop, Rob","(R)",20.4,77.4,29.4,67.7
"399","UT-02","Stewart, Chris","(R)",29.2,68,38.4,58.5
"400","UT-03","Chaffetz, Jason","(R)",19.5,78.3,29.5,67.5
"401","UT-04","Matheson, Jim","(D)",30.2,67.2,40.9,56.1
"402","VA-01","Wittman, Rob","(R)",45.6,53,46.9,52.3
"403","VA-02","Rigell, Scott","(R)",50.1,48.6,50.4,48.7
"404","VA-03","Scott, Bobby","(D)",79,20,78.5,20.9
"405","VA-04","Forbes, Randy","(R)",48.8,50.1,48.9,50.4
"406","VA-05","Hurt, Robert","(R)",45.9,52.5,47.9,51.1
"407","VA-06","Goodlatte, Bob","(R)",39.5,58.8,42,57
"408","VA-07","Cantor, Eric","(R)",41.7,56.9,43.6,55.6
"409","VA-08","Moran, Jim","(D)",67.8,31,68.5,30.6
"410","VA-09","Griffith, Morgan","(R)",34.9,63.1,40.2,58.4
"411","VA-10","Wolf, Frank","(R)",48.8,49.9,51,48.2
"412","VA-11","Connolly, Gerry","(D)",62.5,36.3,62.3,37
"413","VT-AL","Welch, Peter","(D)",67,31.2,67.8,30.6
"414","WA-01","DelBene, Suzan","(D)",54.1,43.3,56.3,41.9
"415","WA-02","Larsen, Rick","(D)",59.2,38,60.5,37.6
"416","WA-03","Herrera Beutler, Jaime","(R)",47.9,49.6,50.9,47.1
"417","WA-04","Hastings, Doc","(R)",37.9,59.7,39.2,58.9
"418","WA-05","McMorris Rodgers, Cathy","(R)",43.7,53.5,46.3,51.2
"419","WA-06","Kilmer, Derek","(D)",56.1,41.2,57,40.9
"420","WA-07","McDermott, Jim","(D)",79.2,18.1,80.4,18
"421","WA-08","Reichert, David","(R)",49.7,48.1,51.5,46.8
"422","WA-09","Smith, Adam","(D)",68.3,29.6,68.6,29.9
"423","WA-10","Heck, Denny","(D)",56.3,41.1,57.2,41
"424","WI-01","Ryan, Paul","(R)",47.4,51.6,50.8,48.1
"425","WI-02","Pocan, Mark","(D)",68.3,30.5,70.1,28.6
"426","WI-03","Kind, Ron","(D)",54.8,43.8,59.4,39.1
"427","WI-04","Moore, Gwen","(D)",75.3,23.8,74.4,24.6
"428","WI-05","Sensenbrenner, Jim","(R)",37.7,61.3,41.8,57.2
"429","WI-06","Petri, Tom","(R)",45.8,53.1,49.4,49.3
"430","WI-07","Duffy, Sean","(R)",47.8,50.9,53.2,45.3
"431","WI-08","Ribble, Reid","(R)",47.6,51.3,53.7,45
"432","WV-01","McKinley, David","(R)",35.5,62.2,41.5,56.7
"433","WV-02","Capito, Shelley Moore","(R)",38,60,43.9,54.7
"434","WV-03","Rahall, Nick","(D)",32.8,65,42.3,55.7
"435","WY-AL","Lummis, Cynthia","(R)",27.6,68.2,32.7,65.2
