"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"AR4","AR","R",1,"Tom Cotton",0,"N00033363",135651,1.65,0.81,97.8,95.8,0
"AZ1","AZ","D",-1,"Ann Kirkpatrick",0,"N00029260",28425,-0.56,0.24,31.2,0,34.8
"AZ1","AZ","R",1,"Jonathan Paton",0,NA,141213,0.54,0.27,66.9,36.4,0.5
"AZ2","AZ","D",-1,"Ron Barber",0,"N00033981",137292,-1.36,0.72,12.4,0,73.9
"AZ2","AZ","R",1,"Martha McSally",0,"N00033982",137299,0.65,0.36,73,47.9,0.299999999999997
"AZ3","AZ","D",-1,"Ra̼l Grijalva",0,"N00025284",28253,-1.47,0.22,6.7,0,85.9
"AZ3","AZ","R",1,"Gabriela Saucedo Mercer",0,"N00033037",141236,1.17,0.55,83.1,67.6,0.299999999999997
"AZ4","AZ","R",1,"Paul Gosar",0,"N00030771",123491,0.49,0.23,65,32.7,0.5
"AZ5","AZ","D",-1,"Spencer Morgan",0,"N00033732",141242,-1.09,0.67,19.7,0,58.8
"AZ5","AZ","R",1,"Matthew Salmon",0,"N00006446",22184,0.41,0.24,61.8,26.5,0.5
"AZ6","AZ","D",-1,"Matthew Jette",0,"N00034303",123535,-0.48,0.27,34.6,0,27.9
"AZ6","AZ","R",1,"David Schweikert",0,"N00006460",106387,1.59,0.81,95.9,92.1,0
"AZ7","AZ","D",-1,"Edward Pastor",0,"N00006397",26719,-1.36,0.58,12.4,0,73.9
"AZ8","AZ","D",-1,"Gene Scharer",0,"N00009575",141245,-0.66,0.26,28.9,0,39.6
"AZ8","AZ","R",1,"Trent Franks",0,"N00006423",28399,0.67,0.29,73.9,49.6,0.299999999999997
"AZ9","AZ","D",-1,"Kyrsten Sinema",0,"N00033983",28338,-2.48,0.67,0.4,0,99.2
"AZ9","AZ","R",1,"Vernon Parker",0,"N00031586",123505,0.7,0.4,74.7,51.4,0.299999999999997
"CA1","CA","D",-1,"Jim Reed",0,"N00031699",120029,-0.44,0.09,36.2,0,24.7
"CA1","CA","R",1,"Doug LaMalfa",0,"N00033987",29713,1.17,0.24,83.1,67.6,0.299999999999997
"CA10","CA","D",-1,"Jose Hernandez",0,"N00033586",136183,-1.01,0.52,20.8,0,56.4
"CA10","CA","R",1,"Jeffrey Denham",0,"N00031593",28769,1.56,0.74,94.7,89.7,0
"CA11","CA","D",-1,"George Miller",0,"N00007390",26734,-0.76,0.12,26.1,0,45.2
"CA11","CA","R",1,"Virginia Fuller",0,"N00029842",104245,1.14,0.5,82.2,65.8,0.299999999999997
"CA12","CA","D",-1,"Nancy Pelosi",0,"N00007360",26732,-1.57,0.28,4.2,0,91.2
"CA12","CA","R",1,"John Dennis",0,"N00031180",120040,0.64,0.29,72.6,47.2,0.299999999999997
"CA13","CA","D",-1,"Barbara Lee",0,"N00008046",8315,-1.31,0.18,14.7,0,69.1
"CA13","CA","X",0,"Marilyn Singleton",0,"N00033878",136202,0.17,0.12,52.7,9.6,1.3
"CA14","CA","D",-1,"Karen Speier",0,"N00029649",8425,-0.69,0.13,28.2,0,41
"CA15","CA","D",-1,"Eric Swalwell",0,"N00033508",129529,-0.3,0.15,40.1,0.2,16.8
"CA15","CA","D",-1,"Fortney Stark",0,"N00007397",26736,-1.01,0.14,20.8,0,56.4
"CA16","CA","D",-1,"Jim Costa",0,"N00026341",3577,-0.16,0.08,43.8,0.7,9.59999999999999
"CA16","CA","R",1,"Brian Whelan",0,"N00033797",136223,0.31,0.24,57.4,17.9,0.5
"CA17","CA","D",-1,"Michael Honda",0,"N00012611",9674,-1.34,0.19,13.2,0,72.3
"CA17","CA","R",1,"Evelyn Li",0,"N00034491",138277,0.09,0.13,50.1,5.7,1.90000000000001
"CA18","CA","D",-1,"Anna Eshoo",0,"N00007335",26741,-0.74,0.09,26.5,0,44.4
"CA19","CA","D",-1,"Zoe Lofgren",0,"N00007479",21899,-0.6,0.11,30.2,0,37
"CA19","CA","R",1,"Robert Murray",0,"N00034492",104372,0.64,0.22,72.6,47.2,0.299999999999997
"CA2","CA","D",-1,"Jared Huffman",0,"N00033030",59849,-2.57,0.67,0.3,0,99.5
"CA2","CA","R",1,"Daniel Roberts",0,"N00032559",136143,0.26,0.09,55.8,15,0.5
"CA20","CA","D",-1,"Samuel Farr",0,"N00007312",26745,-0.91,0.12,22.3,0,53.2
"CA20","CA","R",1,"Jeff Taylor",0,"N00029313",104265,0.26,0.09,55.8,15,0.5
"CA21","CA","D",-1,"John Hernandez",0,"N00009583",29743,-1.59,0.86,3.6,0,92.6
"CA22","CA","R",1,"Devin Nunes",0,"N00007248",16725,1.35,0.8,87.4,75.7,0
"CA23","CA","R",1,"Kevin McCarthy",0,"N00028152",28918,0.63,0.13,71.7,45.5,0.299999999999997
"CA23","CA","X",0,"Terry Phillips",0,"N00034387",136302,-0.48,0.27,34.6,0,27.9
"CA24","CA","D",-1,"Lois Capps",0,"N00007232",16886,-0.53,0.21,32.4,0,32.4
"CA24","CA","R",1,"Abel Maldonado",0,"N00033039",16814,0.08,0.13,49.7,4.9,1.90000000000001
"CA25","CA","D",-1,"Lee Rogers",0,"N00033372",136338,-1.92,1.15,1,0,97.9
"CA25","CA","R",1,"Howard McKeon",1,"N00006882",26755,0.71,0.17,75.5,52.8,0.299999999999997
"CA26","CA","D",-1,"Julia Brownley",0,"N00034254",59904,-1.76,0.33,1.5,0,96.8
"CA26","CA","R",1,"Anthony Strickland",0,"N00026322",16765,0.35,0.24,58.6,20.4,0.5
"CA27","CA","D",-1,"Judy Chu",0,"N00030600",16539,-1.16,0.27,18.4,0,61.4
"CA27","CA","R",1,"Jack Orswell",0,"N00034310",137159,0.29,0.22,56.6,16.5,0.5
"CA28","CA","D",-1,"Adam Schiff",0,"N00009585",9489,-0.91,0.35,22.3,0,53.2
"CA28","CA","R",1,"Phil Jennerjahn",0,"N00032208",120092,1.79,0.76,99.7,99.5,0
"CA29","CA","D",-1,"Tony Cardenas",0,"N00033373",9754,-1.27,0.56,15.7,0,67
